video_id,video_title,video_published_at,video_views,video_likes,video_comments
Duq6ls3aKxc,Yuvraj Singh dissects India&#39;s options for T20 World Cup,2024-04-28T23:53:55Z,434515,13903,603
4_N2bwtFemU,Experience the joy and excitement of PNG&#39;s media day at the #T20WorldCup 😍 #Cricket #CricketShorts,2024-05-28T12:30:03Z,54259,2681,15
HGYnPA-20e4,Phil Salt smashes 30 runs from one over 😲 #cricket #cricketshorts  #ytshorts #t20worldcup,2024-06-20T04:16:33Z,1452487,66147,455
5j5xfbosJEc,Premium Club hospitality at Nassau County International Cricket Stadium in New York 🌟 #t20worldcup,2024-06-02T21:18:11Z,122619,8855,154
eeZw1kDhhmc,ICC Men’s T20 World Cup Trophy Tour 2024 wraps up in New York,2024-03-25T12:55:30Z,100907,3127,352
GXSCrdL4zoc,India storm into the 2014 #T20WorldCup Final 🔥 #cricket #ytshorts #cricketshorts,2024-04-04T07:32:32Z,232574,13323,190
ZyX4-sI2Dno,"Iconic then, iconic now from Virat Kohli 🙌 #cricket #cricketshorts #ytshorts #t20worldcup",2024-06-21T02:08:44Z,4065601,199336,1089
92dwODvzA6U,India are ready to set #T20WorldCup 2024 on fire 🔥 #Cricket #CricketShorts #YTShorts,2024-06-05T08:57:05Z,143379,12733,96
VPt3SIaoVE8,Ricky Ponting on Virat Kohli&#39;s batting position at T20 World Cup 2024,2024-05-22T06:06:10Z,107196,3799,248
Cm8EbSXiolQ,Iconic Partnerships: Mahela Jayawardena and Kumar Sangakkara | T20 World Cup,2024-05-17T04:12:53Z,88227,2485,129
PJ2fVCdp-SI,Ahmed Shehzad smashes first Pakistan T20I ton | BAN v PAK | T20WC 2014,2024-05-20T06:08:46Z,264218,6590,585
mMijxUWKNVs,Trent Boult reveals his answer when asked if this is his final #T20WorldCup appearance 👀 #YTShorts,2024-06-15T17:17:01Z,172353,9951,78
SArpl-_PEEs,Aqib Ilyas has a catch of the tournament contender 🔥 #t20worldcup #cricket #cricketshorts #ytshorts,2024-06-06T03:09:28Z,573682,24690,110
DqLiVjEbPW4,McCullum bludgeons highest tournament score | T20 World Cup,2024-05-16T00:48:02Z,385340,7307,226
RP3FxvgM6lE,Behind the scenes of England&#39;s media day | WT20WC 2024,2024-09-30T01:10:54Z,10709,272,12
lRdwN9AuTF4,Muneeba Ali&#39;s maiden ton | WT20WC 2023,2024-09-05T03:05:36Z,97507,1264,102
JjgS2Wn12Ag,Final Over Thrillers: Afghanistan v West Indies | T20WC 2016,2024-03-27T11:00:27Z,127654,896,49
bRiM0OhHvw8,Sangakkara’s brilliant 52* guides Sri Lanka to maiden title | T20WC 2014 Final,2024-04-06T10:57:37Z,321412,6313,585
2TikWKtQ7no,Jos Buttler and Alex Hales smash record partnership | Semi-final 2 | IND v ENG | T20WC 2022,2024-05-24T04:35:31Z,1129888,17145,2645
93oOahVPG6Q,Sri Lanka v Uganda | Match Highlights | Women&#39;s T20WC Qualifier 2024,2024-05-01T23:59:33Z,187845,1514,51
PFiGu9pbG64,Monty Desai on Nepal&#39;s performance | T20WC 2024,2024-06-15T20:55:17Z,67690,3220,177
VmnJ-vY7N40,Chris Gayle smashed the fastest 💯 in Men&#39;s #T20WorldCup history 🔥 #cricket #cricketshorts #ytshorts,2024-05-28T06:54:37Z,327747,26919,149
thHbT9qjgqI,Harmanpreet Kaur makes history | WT20WC 2018,2024-09-06T05:17:32Z,109212,1002,87
7oSYbutEHZI,Yuvraj Singh on Good Morning America spreading the love and passion for cricket 📺 #T20WorldCup,2024-06-05T12:03:38Z,106775,6863,37
jH9ATrdR6LI,Who will carve their legacy at ICC Women&#39;s #T20WorldCup 2024? 👀 #CricketShorts #YTShorts #Cricket,2024-08-26T14:48:09Z,145758,6670,361
vsMvvitC2gA,Touching down in style for the Women&#39;s #T20WorldCup 2024 fixture launch 🚁 #cricket #cricketshorts,2024-05-09T13:07:49Z,50233,2606,27
xKJOJg4MkSo,Yuvraj Singh makes history 6️⃣💥#cricket #cricketreels #T20WorldCup,2024-05-26T16:30:08Z,4745608,227887,940
hGtMKmG4yaw,Every David Warner six at the T20 World Cup,2024-02-14T06:00:17Z,138474,3850,170
eaGVgvms4wI,Behind the scenes with Afghanistan at the media day | T20WC 2024,2024-05-29T11:30:26Z,59560,1967,122
fzQbqRytaNw,Myburgh&#39;s record fifty pulls off stunning chase | T20WC 2014,2024-05-11T10:30:12Z,56043,1406,77
m8tHU39JOH0,The Best of Laura Wolvaardt | WT20WC,2024-09-17T03:36:24Z,7592,278,22
nEdYMNZ_ET8,Around Dubai in 24 hours 🏆 Bringing the first stop of Women&#39;s #T20WorldCup Trophy Tour!,2024-09-04T14:08:57Z,32951,2179,22
Jk0YbWyIvUs,Ricky Ponting backs Mitchell Marsh for #T20WorldCup captaincy 👀,2024-03-12T06:15:34Z,27836,1517,23
E9vAT8UAnp4,Indomitable Suzie Bates ready for a ninth #T20WorldCup 👏#YTShorts #CricketShorts,2024-09-13T00:21:57Z,11436,728,2
